cve,package,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2025-64340,fastmcp,Medium,False,,,,no,,,,,,,,,,,
CVE-2025-69872,diskcache,Medium,False,,0.00039,0.11993,no,,,,,,,,,,,
CVE-2025-8869,pip,Medium,False,,0.0002,0.05366,no,,https://github.com/pypa/pip/pull/13550,,https://github.com/pypa/pip/pull/13550,,,,,,,
CVE-2026-1703,pip,Low,False,,0.00022,0.05901,no,,https://github.com/pypa/pip/pull/13777 | https://github.com/pypa/pip/commit/8e227a9be4faa9594e05d02ca05a413a2a4e7735,,https://github.com/pypa/pip/pull/13777 | https://github.com/pypa/pip/commit/8e227a9be4faa9594e05d02ca05a413a2a4e7735,,,,8e227a9be4faa9594e05d02ca05a413a2a4e7735,,,
CVE-2026-22815,aiohttp,Medium,False,,0.0004,0.122,no,,,,,,,,,,,
CVE-2026-25645,requests,Medium,False,,4e-05,0.00191,no,,https://github.com/psf/requests/commit/66d21cb07bd6255b1280291c4fafb71803cdb3b7,,https://github.com/psf/requests/commit/66d21cb07bd6255b1280291c4fafb71803cdb3b7,,,,bc04dfd6dad4cb02cd92f5daa81eb562d280a761,5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,3.1
CVE-2026-27124,fastmcp,High,False,,,,no,,,,,,,,,,,
CVE-2026-27448,pyopenssl,Low,False,,0.00038,0.11415,no,,https://github.com/pyca/pyopenssl/commit/d41a814759a9fb49584ca8ab3f7295de49a85aa0,,https://github.com/pyca/pyopenssl/commit/d41a814759a9fb49584ca8ab3f7295de49a85aa0,,,,358cbf29c4e364c59930e53a270116249581eaa3,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2026-27459,pyopenssl,High,False,,0.0002,0.05292,no,,https://github.com/pyca/pyopenssl/commit/57f09bb4bb051d3bc2a1abd36e9525313d5cd408,,https://github.com/pyca/pyopenssl/commit/57f09bb4bb051d3bc2a1abd36e9525313d5cd408,,,819095fa886db98cf43b6f0e66ba19c83d64d3c0,358cbf29c4e364c59930e53a270116249581eaa3,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2026-27962,authlib,Critical,False,,0.00055,0.17273,no,,https://github.com/authlib/authlib/commit/a5d4b2d4c9e46bfa11c82f85fdc2bcc0b50ae681,,https://github.com/authlib/authlib/commit/a5d4b2d4c9e46bfa11c82f85fdc2bcc0b50ae681,,,,9266eaa2227ad7e21dc731b2a4a01909aabd934b,,,
CVE-2026-28490,authlib,High,False,,0.00011,0.01201,no,,https://github.com/authlib/authlib/commit/48b345f29f6c459f11c6a40162b6c0b742ef2e22,,https://github.com/authlib/authlib/commit/48b345f29f6c459f11c6a40162b6c0b742ef2e22,,,,9266eaa2227ad7e21dc731b2a4a01909aabd934b,6.5,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:L/A:N,3.1
CVE-2026-28498,authlib,High,False,,0.00015,0.03294,no,,https://github.com/authlib/authlib/commit/b9bb2b25bf8b7e01512d847a95c1749646eaa72b,,https://github.com/authlib/authlib/commit/b9bb2b25bf8b7e01512d847a95c1749646eaa72b,,,,9266eaa2227ad7e21dc731b2a4a01909aabd934b,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,3.1
CVE-2026-30922,pyasn1,High,False,,0.00049,0.15359,no,,https://github.com/pyasn1/pyasn1/commit/25ad481c19fdb006e20485ef3fc2e5b3eff30ef0,,https://github.com/pyasn1/pyasn1/commit/25ad481c19fdb006e20485ef3fc2e5b3eff30ef0,,,,af65c3b92e9deeae50db4de390982dd970d87f98,,,
CVE-2026-32597,pyjwt,High,False,,9e-05,0.00913,no,,,,,,,,bd9700cca7f9258fadcc429c1034e508025931f2,,,
CVE-2026-32871,fastmcp,Critical,False,,,,no,,,,,,,,,,,
CVE-2026-33055,tar,Medium,False,,0.00011,0.01403,no,,https://github.com/alexcrichton/tar-rs/commit/de1a5870e603758f430073688691165f21a33946,,https://github.com/alexcrichton/tar-rs/commit/de1a5870e603758f430073688691165f21a33946,,,,096e3d16d14fefac51bc4d94d616b21546ea8bcc,8.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,3.1
CVE-2026-33056,tar,Medium,False,,0.00011,0.01432,no,,https://github.com/alexcrichton/tar-rs/commit/17b1fd84e632071cb8eef9d3709bf347bd266446,,https://github.com/alexcrichton/tar-rs/commit/17b1fd84e632071cb8eef9d3709bf347bd266446,,,,096e3d16d14fefac51bc4d94d616b21546ea8bcc,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N,3.1
CVE-2026-34073,cryptography,Low,False,,0.00023,0.06218,no,,,,,,,,91d728897bdad30cd5c79a2b23e207f1f050d587,,,
CVE-2026-34450,anthropic,Medium,False,,0.00012,0.01606,no,,https://github.com/anthropics/anthropic-sdk-python/commit/715030ceb4d6dd8d3546e999c680e29532bf1255,,https://github.com/anthropics/anthropic-sdk-python/commit/715030ceb4d6dd8d3546e999c680e29532bf1255,,,d7c0974ce6ab94ca135b10b2a45308203c0e0c7e,ab0c4460a170183ff036e2a3dad320ac4ac2c76d,,,
CVE-2026-34452,anthropic,Medium,False,,0.00016,0.0349,no,,https://github.com/anthropics/anthropic-sdk-python/commit/6599043eee6e86dce16953fcd1fd828052052be6,,https://github.com/anthropics/anthropic-sdk-python/commit/6599043eee6e86dce16953fcd1fd828052052be6,,,d7c0974ce6ab94ca135b10b2a45308203c0e0c7e,ab0c4460a170183ff036e2a3dad320ac4ac2c76d,,,
CVE-2026-34513,aiohttp,Low,False,,0.0004,0.122,no,,,,,,,,,,,
CVE-2026-34514,aiohttp,Low,False,,0.00045,0.13732,no,,,,,,,,,,,
CVE-2026-34515,aiohttp,Medium,False,,0.00057,0.18133,no,,,,,,,,,,,
CVE-2026-34516,aiohttp,Medium,False,,0.0004,0.122,no,,,,,,,,,,,
CVE-2026-34517,aiohttp,Low,False,,0.0004,0.122,no,,,,,,,,,,,
CVE-2026-34518,aiohttp,Low,False,,0.0004,0.122,no,,,,,,,,,,,
CVE-2026-34519,aiohttp,Low,False,,0.00045,0.13732,no,,,,,,,,,,,
CVE-2026-34520,aiohttp,Low,False,,0.00045,0.13732,no,,,,,,,,,,,
CVE-2026-34525,aiohttp,Medium,False,,0.00085,0.24814,no,,,,,,,,,,,
CVE-2026-4539,pygments,Low,False,,0.00014,0.02715,no,,,,,,,,,,,
